Country;Region;Start Date;ISO Codes
Algeria;Northern Africa;January 1997;12
Egypt;Northern Africa;January 1997;818
Libya;Northern Africa;January 1997;434
Morocco;Northern Africa;January 1997;504
Sudan;Northern Africa;January 1997;729
Tunisia;Northern Africa;January 1997;788
American Samoa;Oceania;January 2021;16
Australia;Oceania;January 2021;36
Christmas Island;Oceania;January 2021;162
Cocos (Keeling) Islands;Oceania;January 2021;166
Cook Islands;Oceania;January 2021;184
Fiji;Oceania;January 2021;242
French Polynesia;Oceania;January 2021;258
Guam;Oceania;January 2021;316
Heard Island and McDonald Islands;Oceania;January 2021;334
Kiribati;Oceania;January 2021;296
Marshall Islands;Oceania;January 2021;584
Micronesia;Oceania;January 2021;583
Nauru;Oceania;January 2021;520
New Caledonia;Oceania;January 2021;540
New Zealand;Oceania;January 2021;554
Niue;Oceania;January 2021;570
Norfolk Island;Oceania;January 2021;574
Northern Mariana Islands;Oceania;January 2021;580
Palau;Oceania;January 2021;585
Papua New Guinea;Oceania;January 2021;598
Pitcairn;Oceania;January 2021;612
Samoa;Oceania;January 2021;882
Solomon Islands;Oceania;January 2021;90
Tokelau;Oceania;January 2021;772
Tonga;Oceania;January 2021;776
Tuvalu;Oceania;January 2021;798
United States Minor Outlying Islands;Oceania;January 2021;581
Vanuatu;Oceania;January 2021;548
Wallis and Futuna;Oceania;January 2021;876
Argentina;South America;January 2018;32
Bolivia;South America;January 2018;68
Brazil;South America;January 2018;76
Chile;South America;January 2018;152
Colombia;South America;January 2018;170
Ecuador;South America;January 2018;218
Falkland Islands;South America;January 2018;238
French Guiana;South America;January 2018;254
Guyana;South America;January 2018;328
Paraguay;South America;January 2018;600
Peru;South America;January 2018;604
Suriname;South America;January 2018;740
Uruguay;South America;January 2018;858
Venezuela;South America;January 2018;862
South Georgia and the South Sandwich Islands;South America;January 2018;239
Bangladesh;South Asia;January 2010;50
India;South Asia;January 2016;356
Nepal;South Asia;January 2010;524
Pakistan;South Asia;January 2010;586
Sri Lanka;South Asia;January 2010;144
Bhutan;South Asia;January 2020;64
Maldives;South Asia;January 2020;462
Cambodia;Southeast Asia;January 2010;116
Indonesia;Southeast Asia;January 2015;360
Laos;Southeast Asia;January 2010;418
Malaysia;Southeast Asia;January 2018;458
Myanmar;Southeast Asia;January 2010;104
Philippines;Southeast Asia;January 2016;608
Thailand;Southeast Asia;January 2010;764
Vietnam;Southeast Asia;January 2010;704
Brunei;Southeast Asia;January 2020;96
East Timor;Southeast Asia;January 2020;626
Singapore;Southeast Asia;January 2020;702
Botswana;Southern Africa;January 1997;72
eSwatini;Southern Africa;January 1997;748
Lesotho;Southern Africa;January 1997;426
Namibia;Southern Africa;January 1997;516
South Africa;Southern Africa;January 1997;710
Zambia;Southern Africa;January 1997;894
Zimbabwe;Southern Africa;January 1997;716
Saint Helena, Ascension and Tristan da Cunha;Southern Africa;January 2020;654
Benin;Western Africa;January 1997;204
Burkina Faso;Western Africa;January 1997;854
Gambia;Western Africa;January 1997;270
Ghana;Western Africa;January 1997;288
Guinea;Western Africa;January 1997;324
Guinea-Bissau;Western Africa;January 1997;624
Ivory Coast;Western Africa;January 1997;384
Liberia;Western Africa;January 1997;430
Mali;Western Africa;January 1997;466
Mauritania;Western Africa;January 1997;478
Niger;Western Africa;January 1997;562
Nigeria;Western Africa;January 1997;566
Senegal;Western Africa;January 1997;686
Sierra Leone;Western Africa;January 1997;694
Togo;Western Africa;January 1997;768
Cape Verde;Western Africa;January 2020;132
